Carregando dados limpos de:
c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\ModelData\Saudi Arabian Grand Prix\saudi_arabian_grand_prix_cleaned_data.csv

--- COMPARAÇÃO LINEAR REGRESSION WALK FORWARD (WF) ---
Ratio  Laps  Folds  RMSE_Media         IC_95%_RMSE  MAE_Media           IC_95%_MAE      R2_Media                    IC_95%_R2
  15%     1           3-7          8-9         263         98    0.5003    0.3885  8.194000e-01
  30%    11         13-23        24-26         483        195    0.5048    0.3910  8.231000e-01
   5%     4           6-6          7-7          69         52    0.5083    0.3858  7.854000e-01
  12%     5          7-10        11-12         205        121    0.5101    0.4051  7.511000e-01
  15%     4          6-10        11-12         274        121    0.5265    0.4323  7.349000e-01
  20%    14         16-23        24-25         291        129    0.5548    0.4369  7.811000e-01
  25%    13         15-23        24-26         354        195    0.5549    0.4322  7.863000e-01
   5%    47         49-49        50-50          56         44    0.5576    0.4307  6.879000e-01
   5%    10         12-12        13-13          69         64    0.5679    0.4517  5.835000e-01
   5%    33         35-35        36-36          62         62    0.5748    0.4594  5.765000e-01
   5%    23         25-25        26-26          63         66    0.6132    0.4589  7.456000e-01
  10%    17         19-22        23-23         121         52    0.6259    0.4404  7.376000e-01
  12%    17         19-22        23-24         121        118    0.6287    0.4786  7.107000e-01
   5%    45         47-47        48-48          62         56    0.6455    0.5287  4.890000e-01
  10%    18         20-23        24-24         143         66    0.6461    0.5127  6.702000e-01
   5%     3           5-5          6-6          56         69    0.6524    0.5409  6.377000e-01
   5%    46         48-48        49-49          56         56    0.6594    0.4781  4.723000e-01
  15%    17         19-23        24-25         173        129    0.6708    0.5384  6.800000e-01
   5%    42         44-44        45-45          62         65    0.6751    0.5158  5.530000e-01
   5%     1           3-3          4-4          35         51    0.6875    0.5810  5.972000e-01
   5%    15         17-17        18-18          39         29    0.7011    0.6192  3.625000e-01
