Carregando dados limpos de:
c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\ModelData\United States Grand Prix\united_states_grand_prix_cleaned_data.csv

--- COMPARAÇÃO LINEAR REGRESSION WALK FORWARD (WF) ---
Ratio  Laps  Folds  RMSE_Media              IC_95%_RMSE  MAE_Media               IC_95%_MAE      R2_Media                         IC_95%_R2
  10%    27         29-32        33-33         235         56      0.4359      0.3515  9.220000e-01
  12%    25         27-30        31-32         229        120      0.4367      0.3490  9.188000e-01
  10%    19         21-24        25-25         189         50      0.4374      0.3454  8.455000e-01
  12%    49         51-54        55-56         242        103      0.4375      0.3485  9.382000e-01
   5%    39         41-42        43-43         120         67      0.4381      0.3446  9.146000e-01
  15%    46         48-53        54-55         380        114      0.4401      0.3630  9.387000e-01
  10%    34         36-39        40-40         233         58      0.4419      0.3447  9.182000e-01
  10%    26         28-31        32-32         231         60      0.4419      0.3700  9.141000e-01
  15%    17         19-24        25-26         279        102      0.4476      0.3215  8.747000e-01
  20%     1          3-10        11-13         410        184      0.4478      0.3545  9.132000e-01
  20%    13         15-22        23-25         416        149      0.4520      0.3247  8.365000e-01
   5%    37         39-40        41-41         117         58      0.4553      0.3536  9.135000e-01
   5%    43         45-46        47-47         127         63      0.4562      0.3446  9.168000e-01
